# Quadro 7 (Parques Municipais existentes e propostos) — Anexo PDE Lei 16.050/2014. Fonte: _entrada/tdc/pde2013-subst2-quadro-7-parques-municipais-existentes-propostos.txt (extração pura via extrair_quadro7.py). Substrato da via de expansão 'parques' (Art. 126 IV).
codigo,situacao,categoria,proposto,revisar,local_bruto,endereco_bruto
PQ_FO_02,,,,sem situacao na fonte (PDF) — conferir manual,FREGUESIA/BRASILANDIA BRASILANDIA LINEAR CORREGO BANANAL AV. HUGO ITALO MERIGO; CJ.HAB.CDHU- BRASILANDIA C; PQ. ESTADUAL DA CANTAREIRA,
PQ_FO_03,EM PLANEJAMENTO,LINEAR,sim,,FREGUESIA/BRASILANDIA BRASILANDIA LINEAR CORREGO BANANAL ITAGUACU,EM IMPLANTACAO LINEAR DIVISA PARQUE ESTADUAL DA CANTAREIRA
PQ_FO_04,EXISTENTE,URBANO,nao,,FREGUESIA/BRASILANDIA BRASILANDIA LINEAR DO CORREGO DO BANANAL/CANIVETE FASE 1,AV. HUGO ITALO MERIGO
PQ_FO_05,,,,sem situacao na fonte (PDF) — conferir manual,FREGUESIA/BRASILANDIA BRASILANDIA AV. HUGO ITALO MERIGO; ENTRE CONJ. CDHU E PARQUE ESTADUAL DA CANTAREIRA,
PQ_FO_06,EM IMPLANTAÇÃO,LINEAR,sim,,FREGUESIA/BRASILANDIA LINEAR DO CORREGO DO EM BANANAL/CANIVETE FASE 2,FREGUESIA DO O MORRO GRANDE EM PLANEJAMENTO URBANO AV ELISIO TEIXEIRA LEITE
PQ_G_01,EM PLANEJAMENTO,,sim,,GUAIANASES GUAIANASES GUAIANASES COHAB JUSCELINO,A DEFINIR R. OITENTA
PQ_G_02,EM IMPLANTAÇÃO,LINEAR,sim,,GUAIANASES GUAIANASES LINEAR GUARATIBA,AV. RIBEIRÃO ITAQUERA
PQ_G_03,EM IMPLANTAÇÃO,LINEAR,sim,,GUAIANASES GUAIANASES LINEAR GUARATIBA CENTRAL GUAIANASES,"R. LUIS MATEUS, S/Nº"
PQ_G_04,EXISTENTE,LINEAR,nao,,GUAIANASES GUAIANASES LINEAR GUARATIBA FASE 1,AV RIO CAVERNOSO
PQ_G_05,EM IMPLANTAÇÃO,LINEAR,sim,,GUAIANASES GUAIANASES LINEAR GUARATIBA FASE 2,AV RIO CAVERNOSO
PQ_G_06,EM IMPLANTAÇÃO,LINEAR,sim,,GUAIANASES GUAIANASES LINEAR GUARATIBA PISCINAO SAO MATEUS,"R. LUIS MATEUS, R. MESTRE VALENTIM"
PQ_G_07,EM PLANEJAMENTO,URBANO,sim,,GUAIANASES LAJEADO CHABILANDIA,RUA HONORIO ALVES 6 LAJEADO
PQ_G_08,EXISTENTE,URBANO,nao,,GUAIANASES LAJEADO - IZAURA PEREIRA DE SOUZA FRANZOLIN,R. ANTONIO THADEO S/N
PQ_G_09,EM PLANEJAMENTO,URBANO,sim,,GUAIANASES LAJEADO LAJEADO - STA ETELVINA,R. SANTA ETELVINA
PQ_G_10,EM PLANEJAMENTO,LINEAR,sim,,GUAIANASES LAJEADO LINEAR GUARATIBA FASE 3,ESTRADA ITAQUERA-GUAIANAZES
PQ_IP_01,EXISTENTE,URBANO,nao,,IPIRANGA IPIRANGA INDEPENDENCIA,AV.NAZARETH
PQ_IP_02,EM IMPLANTAÇÃO,URBANO,sim,,IPIRANGA IPIRANGA INDEPENDENCIA AMPLIACAO,"R.BOM PASTOR, R. SOROCABANOS"
PQ_IP_03,EM PLANEJAMENTO,LINEAR,sim,,IPIRANGA SACOMA JABOTICABAL,R. SYLLAS MATTOS
PQ_IT_01,EXISTENTE,URBANO,nao,,ITAIM PAULISTA ITAIM PAULISTA ECOLOGICO CENTRAL ITAIM FASE 1,"R. JOÃO ANTONIO DE MEDEIROS, R. ALFREDO MOREIRA PINTO"
PQ_IT_02,EM IMPLANTAÇÃO,URBANO,sim,,ITAIM PAULISTA ITAIM PAULISTA ECOLOGICO CENTRAL ITAIM FASE 2,R. ALFREDO MOREIRA PINTO
PQ_IT_03,EXISTENTE,LINEAR,nao,,ITAIM PAULISTA ITAIM PAULISTA LINEAR ITAIM PAULISTA,R. ESTEVÃO RIBEIRO GARCIA S/N
PQ_IT_04,EXISTENTE,URBANO,nao,,ITAIM PAULISTA ITAIM PAULISTA PARQUE DAS AGUAS,AV. DESEMBARGADOR MÁRIO GUIMARÃES
PQ_IT_05,EXISTENTE,URBANO,nao,,ITAIM PAULISTA ITAIM PAULISTA SANTA AMELIA,R.TIMÓTEO CORREA GOES 30
PQ_IT_06,EM PLANEJAMENTO,LINEAR,sim,,ITAIM PAULISTA ITAIM PAULISTA TIJUCO PRETO,AV CORREGO TIJUCO PRETO
PQ_IT_07,EM PLANEJAMENTO,LINEAR,sim,,ITAIM PAULISTA ITAIM PAULISTA TRES PONTES,AV CORREGO TRES PONTES
PQ_IT_08,EXISTENTE,URBANO,nao,,ITAIM PAULISTA VILA CURUCA CHACARA DAS FLORES,ESTRADA DOM JOÃO NERY 3551
PQ_IT_09,EXISTENTE,URBANO,nao,,ITAIM PAULISTA VILA CURUCA CHICO MENDES,R.CEMBIRA 1201
PQ_IT_10,EM IMPLANTAÇÃO,LINEAR,sim,,ITAIM PAULISTA VILA CURUCA LINEAR AGUA VERMELHA FASE 2,AV FERNANDO FIGUEIREDO LINS
PQ_IT_11,EM PLANEJAMENTO,LINEAR,sim,,ITAIM PAULISTA VILA CURUCA LINEAR LAJEADO II,R ANTONIO DE RODOVALHO
PQ_IT_12,EXISTENTE,URBANO,nao,,ITAIM PAULISTA VILA CURUCA QUISSISSANA (RESERVA),R. CAPITÃO ENEAS DOS SANTOS PINTO S/N
PQ_IQ_01,EXISTENTE,URBANO,nao,,ITAQUERA CIDADE LIDER AREA PRESERVACAO SAVOY CITY,R. PLACIDO NUNES
PQ_IQ_02,EM IMPLANTAÇÃO,LINEAR,sim,,ITAQUERA CIDADE LIDER LINEAR NAIR BELLO,R QUINTA DE BOAMENSE 7 EM
PQ_IQ_03,EM IMPLANTAÇÃO,URBANO,sim,,ITAQUERA CIDADE LIDER SAVOY,AV. ARICANDUVA
PQ_IQ_04,EXISTENTE,LINEAR,nao,,ITAQUERA ITAQUERA LINEAR RIO VERDE,AV. ITAQUERA
PQ_IQ_05,,,,sem situacao na fonte (PDF) — conferir manual,ITAQUERA ITAQUERA LINEAR RIO VERDE FASE 1 R. TOMAZO FERRARA; R. CASTELO DO PIAUI; AV. ITAQUERA,
PQ_IQ_06,EM IMPLANTAÇÃO,LINEAR,sim,,ITAQUERA ITAQUERA LINEAR RIO VERDE FASE 2,EM PLANEJAMENTO LINEAR AV. ITAQUERA
PQ_IQ_07,EM PLANEJAMENTO,LINEAR,sim,,ITAQUERA ITAQUERA LINEAR RIO VERDE FASE 3,AV. ITAQUERA
PQ_IQ_08,,,,sem situacao na fonte (PDF) — conferir manual,ITAQUERA ITAQUERA LINEAR RIO VERDE FASE 4 R. HARRY DANHENBERG; AV. DR. FRANCISCO MUNHOZ FILHO,
PQ_IQ_09,EM PLANEJAMENTO,LINEAR,sim,,ITAQUERA ITAQUERA SABBADO DANGELO,EM PLANEJAMENTO URBANO R. SABBADO DANGELO
PQ_IQ_10,EXISTENTE,URBANO,nao,,ITAQUERA JOSE BONIFACIO RAUL SEIXAS,R.MURMÚRIOS DA TARDE 211
PQ_IQ_11,EXISTENTE,URBANO,nao,,ITAQUERA PARQUE CARMO DO DO CARMO,AV. AFONSO DE SAMPAIO E SOUZA 951
PQ_IQ_12,EXISTENTE,NATURAL,nao,,ITAQUERA PARQUE DO NATURAL MUNICIPAL FAZENDA DO CARMO CARMO,AV. ARICANDUVA
PQ_IQ_13,EM PLANEJAMENTO,URBANO,sim,,ITAQUERA PQ DO CARMO CARMO EXPANSAO,AV. AFONSO DE SAMPAIO E SOUZA
PQ_JA_01,EXISTENTE,LINEAR,nao,,JABAQUARA JABAQUARA LINEAR AGUA VERMELHA FASE 1,AV. EUCLIDES FONSECA S/N
PQ_JA_02,EXISTENTE,URBANO,nao,,JABAQUARA JABAQUARA NABUCO,R.FREDERICO ALBUQUERQUE 120
PQ_JT_01,EM PLANEJAMENTO,URBANO,sim,,JACANA / TREMEMBE TREMEMBE BARROCADA,ESTR. DA BARROCADA
PQ_JT_02,EM PLANEJAMENTO,URBANO,sim,,JACANA / TREMEMBE TREMEMBE BORDA DA CANTAREIRA NUCLEO JULIAO EM FAGUNDES,AV. CORONEL SEZEFREDO FAGUNDES
PQ_JT_03,EM PLANEJAMENTO,URBANO,sim,,JACANA / TREMEMBE TREMEMBE ENGORDADOR,AV CEL. SEZEFREDO FAGUNDES
PQ_JT_04,,,,sem situacao na fonte (PDF) — conferir manual,JACANA / TREMEMBE TREMEMBE SANTA MARIA FASE 1 AV CEL SEZEFREDO FAGUNDES; R SOLANO TRINDADE,
PQ_JT_05,EM PLANEJAMENTO,NATURAL,sim,,JACANA / TREMEMBE TREMEMBE SANTA MARIA FASE 2,EM PLANEJAMENTO NATURAL AV CEL SEZEFREDO FAGUNDES; R SOLANO TRINDADE 8 EM
PQ_JT_06,EM PLANEJAMENTO,URBANO,sim,,JACANA / TREMEMBE TREMEMBE TREMEMBE,ESTRADA DO GUARAU
PQ_JT_07,EM IMPLANTAÇÃO,LINEAR,sim,,JACANA/TREMEMBE JACANA LINEAR CABUCU DE CIMA,RODOVIA FERNAO DIAS
PQ_JT_08,EM IMPLANTAÇÃO,LINEAR,sim,,JACANA/TREMEMBE JACANA LINEAR CABUCU DE CIMA FASE 2 (COM_DUP),RODOVIA FERNAO DIAS
PQ_JT_09,EXISTENTE,URBANO,nao,,JACANA/TREMEMBE TREMEMBE SENA,"R. SENA, 341"
