
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.07.170-00,,,,6068-2024-0.012.075-1,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,01/11/2024,,,197.034.0026-3,,,,NR2.10,,,ZONA MISTA.,AGUA BRANCA,,NACIONAL ATLETICO CLUBE,,R   COMENDADOR SOUSA 348 ,28/11/2024,MARCELO PALUMBO,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.06.815-00,,,,6068-2024-0.011.178-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,08/10/2024,,,017.103.0046-9,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,- GRUTA / CANINDE,,AGÊNCIA TODAY PARTICIPAÇÕES LTDA.,,R   PASCOAL RANIERI 33 ASS.PORTUGUESA  DESP,12/11/2024,GINES PEREZ; FAUSTO ARANTES RECHE,,FAUSTO ARANTES RECHE,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.06.845-00,,,,6068-2024-0.011.353-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,10/10/2024,,,017.103.0046-9,,,,NR3.04, ZOE,,CLUBE ESPORTIVO SOCIAL.,- GRUTA / CANINDE,,TRIBOS MUSIC GRAVADORA EDITORA PRODUÇÕES E EVENTOS LTDA,,R   PASCOAL RANIERI 33 ASS.PORTUGUESA  DESP,12/11/2024,FAUSTO ARANTES RECHE,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.06.874-00,,,,6068-2024-0.011.151-5,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,07/10/2024,,,029.054.0071-4,,,,NR2.11,,,Z6-021.,BELENZINHO,,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRA,,AV  ALVARO RAMOS 991 ,13/11/2024,VALERIO GALIATO; TAMIRIS YURI FUKUDA,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.06.923-00,,,,6068-2024-0.011.486-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,15/10/2024,,,002.040.0001-7,,,,NR3.04, ZC,,ZONA MISTA DE ALTA DENSIDADE - A.,MOOCA,,52.492.112 MARCELA RAMOS DOS SANTOS,,R   DO BUCOLISMO 81 FABRIKETA/ ,18/11/2024,ROBERTO HERNANDEZ ANDRADES; NAIARA ROBERTA ROSIN SIMOES COELHO,,NAIARA ROBERTA ROSIN SIMOES COELHO,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.07.105-00,,,,6068-2024-0.011.753-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,23/10/2024,,,017.103.0046-9,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,- GRUTA / CANINDE,,B 2 F MARKETING E EVENTOS LTDA,,R   PASCOAL RANIERI 33 ASS.PORTUGUESA  DESP,26/11/2024,FAUSTO ARANTES RECHE,,,,,,
SMUL/CONTRU/DLR     ,PENHA                         ,,2024.06.686-00,,,,6068-2024-0.005.564-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/05/2024,,,061.056.0256-1,,,,NR3-04, ZEUP,,ZONA DE CENTRALIDADE POLAR - B.,PENHA,,CINEMATOGRAFICA PASSOS LTDA,,R   DOUTOR JOAO RIBEIRO 00304 ,01/11/2024,LEO ROGERIO CASTELLAN MARTINEZ; ANTONIO MAURO RISOLEO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.06.677-00,,,,6068-2024-0.010.793-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,27/09/2024,,,096.128.0003-0,,,,, ZEPAM,,Z8-040/01.,PRQ VL LOBOS,,EDITORA GLOBO S/A.,,AV  PROF FONSECA RODRIGUES 2001 ,01/11/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.06.684-00,,,,6068-2024-0.008.659-6,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,07/08/2024,,,009.063.0579-9,,,,NR2.10, ZEU,,Z5-004.,BELA VISTA,,CLUB HOMS,,AV  PAULISTA 735 ,01/11/2024,JOSE ANTONIO GALAZZO DE CARVALHO; MAURO ANTONIO ROSSI,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.06.752-00,,,,6068-2024-0.011.073-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,04/10/2024,,,299.052.0303-4,,,,NR2.11,,,ZONA MISTA DE ALTA DENSIDADE - B.,VILA NOVA CONCEICAO,,POBRE JUAN RESTAURANTE GRILL LTDA,,"R   COMENDADOR MIGUEL CALFAT 537 531, 533 E 545",07/11/2024,PEDRO ROSSI FILHO; GILSON PEREIRA DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.06.894-00,,,,6068-2024-0.004.686-1,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,03/05/2024,,,299.099.0271-9,,,,NR2.01,,,Z8-CR4 LIND. Z2.,V. OLIMPIA,,JARDINEIRA GRILL LTDA,,AV  DOS BANDEIRANTES 1000 ,14/11/2024,ROGERIO SALVIANO DA SILVA; RENEE ROUSSEAU,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.06.928-00,,,,6068-2024-0.011.526-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,16/10/2024,,,096.128.0003-0,,,,NR4.06, ZEPAM,,ZONA NAO DEFINIDA.,PRQ VL LOBOS,,JM SHOWS LTDA ,,AV  PROF FONSECA RODRIGUES 2001 ,18/11/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.06.929-00,,,,6068-2024-0.011.399-2,,,,,,,ALVARA DE AUTORIZACAO,,,,,11/10/2024,,,083.049.0214-1,,,,NR3.04, ZM,,Z2.,PINHEIROS,,MKT LSAB PROJETOS CULTURAIS LTDA,,R   CARDEAL ARCOVERDE 02902 ,18/11/2024,ANTONIO CRUVINEL,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.07.032-00,,,,6068-2024-0.006.967-5,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,28/06/2024,,,014.017.0608-8,,,,NR3.04, ZC,,Z3-139.,CERQUEIRA CESAR,,CHAIM PRODUCOES ARTISTICAS LTDA,,R   AUGUSTA 2823 ,21/11/2024,ROBERTO HERNANDEZ ANDRADES; NAIARA ROBERTA ROSIN SIMOES COELHO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.07.034-00,,,,6068-2024-0.011.655-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,18/10/2024,,,096.128.0003-0,,,,NR4.06, ZEPAM,,ZONA NAO DEFINIDA.,PRQ VL LOBOS,,M A PRODUCAO DE EVENTOS LIMITADA,,AV  PROF FONSECA RODRIGUES 2001 ,21/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.07.075-00,,,,6068-2024-0.011.847-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,24/10/2024,,,085.653.0090-0,,,,NR2.11, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,BROOKLIN,,MONTARTE EVENTOS LTDA-ME,,AV  DOUTOR CHUCRI ZAIDAN 99999 ,25/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.07.077-00,,,,6068-2024-0.011.836-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,24/10/2024,,,096.040.0001-2,,,,NR3.04, ZEPAM,,Z8-040-003.,VILA HAMBURGUESA,,DC10 ECONOMIA CRIATIVA LTDA,,AV  QUEIROZ FILHO 1365 PQ. CANDIDO PORTINAR,25/11/2024,SAMANTHA SILVA COSTA,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.07.121-00,,,,6068-2024-0.005.139-3,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,15/05/2024,,,014.047.0229-6,,,,NR2.15, ZEU,,Z3-139.,JARDIM PAULISTA,,TEMPLO ISRAELITA BRASILEIRO OHEL YAACOV,,R   CRAVINHOS 00061 ,26/11/2024,ISRAEL AVRUM MORDKO KLEIMBERG; RONALDO SAMPAIO PEREIRA,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.06.129-01,,,,6068-2024-0.011.641-0,,,,,,,RENOVACAO DE ALVARA DE AUTORIZACAO,,,,,18/10/2024,,,071.368.1834-6,,,,NR2.11, ZC,,Z2.,SANTANA,,SILVANA BORDIGONI ROBATINI,,R   CONS MOREIRA DE BARROS 2780 ESTACIONAMENTO SHOPP,21/11/2024,ELY GOMES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.06.750-00,,,,6068-2024-0.011.289-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,09/10/2024,,,304.009.0002-2,,,,NR4.06, ZEPAM,,ZONA DE OCUPACAO ESPECIAL.,SANTANA,,ASSOCIACAO PAULISTA DOS AMIGOS DA ARTE,,AV  GENERAL ATALIBA LEONEL 656 PARQUE DA JUVENTUDE/,07/11/2024,JOSE CELSO SANTOS DINIZ; FLAVIO AMERICO CURTO JACOME DA PAZ,,,,,,
SMUL/CONTRU/DLR     ,SANTANA/ TUCURUVI              ,,2024.07.146-00,,,,6068-2024-0.012.012-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,31/10/2024,,,073.285.0001-8,,,,, AC-1,,Z8-006.,SANTANA,,INNER ENTERPRISES PRODUCOES E EVENTOS LTDA,,R   MARECHAL LEITAO DE CARVALHO 65 ,28/11/2024,FAUSTO ARANTES RECHE; DIEGO ALVES AMORIM,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.06.355-01,,,,6068-2024-0.010.136-6,,,,,,,APOSTILAMENTO DE ALVARA DE AUTORIZACAO,,,,,12/09/2024,,,086.006.0111-8,,,,NR3.04,,,Z4-062.,/ BROOKLIN,,ASSOCIACAO DOS EMP. E MORADORES DO BROOKLIN,,R   JOAQUIM NABUCO 0 AV STO AM - J DINIS,12/11/2024,ROBERTO HERNANDEZ ANDRADES; ALINE MARIA DE OLIVEIRA ASSUNCAO,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.06.763-00,,,,6068-2024-0.011.341-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,10/10/2024,,,087.379.0055-2,,,,NR2.11,,,ZONA ESPECIAL DE PROTECAO AMBIENTAL.,VILA CRUZEIRO,,ASSOC. BRAS. DE CRIADORES DO CAVALO DE HIPISMO,,R   DR     VITO ROLIM DE FREITAS 421 ,08/11/2024,SERGIO GOMES FERNANDES RIBEIRO; EDUARDO SALVADOR DE OLIVEIRA,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.06.764-00,,,,6068-2024-0.010.893-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,01/10/2024,,,087.379.0055-2,,,,NR2.14, ZEU,,Z1-023.,VILA CRUZEIRO,,CLUBE HIPICO DE SANTO AMARO,,R   DR     VITO ROLIM DE FREITAS 421 ,08/11/2024,SERGIO GOMES FERNANDES RIBEIRO,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.06.819-00,,,,6068-2024-0.011.035-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,03/10/2024,,,088.148.0011-1,,,,NR3-04, ZDE-2,,ZONA MISTA DE ALTA DENSIDADE - A.,JURUBATUBA,,TAJ PEOPLE LTDA.,,AV  OCTALLES M.FERREIRA 460 ,12/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.06.840-00,,,,6068-2024-0.011.638-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,18/10/2024,,,085.647.0727-6,,,,NR2.10, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,VILA GERTRUDES,,RICO SERVIÇOS E LOCAÇÕES LTDA,,AV  ROQUE PETRONI JUNIOR 1089 ,12/11/2024,ERIC PAZOTI AUGUSTO,,,,,,
SMUL/CONTRU/DLR     ,SANTO AMARO                   ,,2024.07.132-00,,,,6068-2024-0.004.354-4,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,23/04/2024,,,087.167.0003-1,,,,NR3.04, ZM,,Z6-037.,CHACARA STO ANTONIO,,AMERICAN CHAMBER OF COMMERCE FOR BRAZIL SAO PAULO,,R   ANTONIO DAS CHAGAS 000990 ,27/11/2024,AIDA MARTINS CASIMIRO VARUZZI; RONALDO MARTINS DE LIRO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.04.314-01,,,,6068-2024-0.011.877-3,,,,,,,RENOVACAO DE ALVARA DE AUTORIZACAO,,,,,25/10/2024,,,006.012.1019-0,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CONSOLACAO,,ASSOCIACAO SOCIEDADE DE CULTURA ARTISTICA,,R   NESTOR PESTANA 196 TEATRO CULT. ARTIS./,05/11/2024,ANTONIO ANGELO DORATIOTTO NETO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.685-00,,,,6068-2024-0.010.379-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,19/09/2024,,,006.017.0015-5,,,,NR3.04, ZC,,ZONA CENTRALIDADE.,CENTRO,,F.J.CINES LTDA,,R   DOM JOSE DE BARROS 288 296 / 298,01/11/2024,SERGIO RAMALHO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.710-00,,,,6068-2024-0.010.987-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,02/10/2024,,,002.068.0006-1,,,,NR2.11, ZC,,ZONA CENTRALIDADE.,SE,,NAU BR EVENTOS CULTURAIS LTDA - ME,,R   ROBERTO SIMONSEN 00097 E 101,05/11/2024,ELY GOMES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.847-00,,,,6068-2024-0.011.265-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,09/10/2024,,,018.001.0006-1,,,,NR2.10, AC-1,,CLUBE ESPORTIVO SOCIAL.,PONTE PEQUENA,,AH EVENTOS E PRODUCOES LTDA,,AV  SANTOS DUMONT 843 C.ESPORTIVO TIETE /,12/11/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.865-00,,,,6068-2024-0.006.977-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,28/06/2024,,,006.032.0079-6,,,,NR2-01, ZEIS-3,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,CAMBRIDGE BAR LTDA,,R   ALVARO DE CARVALHO 00035 LOJA,13/11/2024,RAPHAEL RODRIGUEZ POPOVIC; TARCISO JOSE DE PAULA; PHELIPPE BELUM CASTRO DIAS,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.872-00,,,,6068-2024-0.011.388-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,11/10/2024,,,011.108.0001-0,,,,NR2.11, ZOE,,ZONA ESPECIAL DE PRESERVACAO CULTURAL.,PACAEMBU,,FEDERAÇÃO PAULISTA DE FUTEBOL,,PC  CHARLES MILLER 0 ESTADIO DO PACAEMBU ,13/11/2024,CLAUDIO RODRIGUES BEDUSCKI,,CLAUDIO RODRIGUES BEDUSCKI,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.875-00,,,,6068-2024-0.011.015-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,03/10/2024,,,007.077.1762-0,,,,NR2.11, ZEU,,Z4-023.,V. BUARQUE,,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRA,,R   DOUTOR VILA NOVA 245 BLOCO 1,13/11/2024,JOAO HENRIQUE VICENZI SANDRI                                ; ALEX ALVES,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.898-00,,,,6068-2024-0.011.564-2,,,,,,,ALVARA DE AUTORIZACAO,,,,,17/10/2024,,,011.108.0001-0,,,,NR3-04, ZOE,,ZONA DE CENTRALIDADE LINEAR 2 EM ZER.,PACAEMBU,,NETWORK PARTICIPACOES S.A.,,PC  CHARLES MILLER 0 ESTADIO DO PACAEMBU ,14/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.06.935-00,,,,6068-2024-0.012.223-1,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,06/11/2024,,,009.034.0012-1,,,,NR3.04, ZEU,,Z11-012.,BELA VISTA,,THE BLUE HOUSE BAR LTDA - ME,,AL  RIBEIRAO PRETO 00384 ,18/11/2024,FARID LUIZ OURIVES CRUZ; JOSE DEOCLECIO BAPTISTA FIORENTINI,,,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.07.062-00,,,,6068-2024-0.011.907-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,25/10/2024,,,018.001.0006-1,,,,NR2.10, AC-1,,ZONA DE CENTRALIDADE POLAR - A.,PONTE PEQUENA,,AGES ASSOCIAÇÃO CIVIL GAUDIUM ET SPES,,AV  SANTOS DUMONT 843 C.ESPORTIVO TIETE /,25/11/2024,ANDRE EIRA IAGUE; LUIZ CARLOS MARCATO,,LUIZ CARLOS MARCATO,,,,
SMUL/CONTRU/DLR     ,SE                            ,,2024.07.134-00,,,,6068-2024-0.009.740-7,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,04/09/2024,,,008.027.0035-7,,,,NR3-04, ZEIS-3,,Z3-100.,CAMPOS ELISEOS,,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRA,,AL  DINO BUENO 364 ,27/11/2024,FELIPE RODRIGUES DE SOUZA,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIA/ VILA GUILHERME     ,,2024.06.818-00,,,,6068-2024-0.011.389-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,11/10/2024,,,304.100.0048-2,,,,NR3-04, ZC,,ZONA DE CENTRALIDADE POLAR - A.,VILA GUILHERME,,R2C COMERCIO E PRODUÇÕES LTDA,,AV  OTTO BAUMGART 000500 LOJA 306,12/11/2024,EDUARDO MIACHON DE OLIVEIRA,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIA/ VILA GUILHERME     ,,2024.06.893-00,,,,6068-2024-0.003.496-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,04/04/2024,,,066.238.0060-3,,,,NR2.15, ZC,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA MEDEIROS,,CONGREGACAO CRISTA NO BRASIL,,AV  JARDIM JAPAO 284 ,14/11/2024,FABIO ADRIANO DE MELLO DIAS; FLAVIO GIANINI; MOYSES GOMES PEDRO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIA/ VILA GUILHERME     ,,2024.07.018-00,,,,6068-2024-0.011.787-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,23/10/2024,,,064.207.0019-1,,,,NR3.04, ZEMP,,ZONA MISTA DE ALTA DENSIDADE - A.,/ VILA GUILHERME,,COLETIVO ZEENI LTDA,,R   CHICO PONTES 1380 1500,21/11/2024,BRUNO LESSA GOMES; GUILHERME PELEGRINO NARDI; KAIQUE ZUZA DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIA/ VILA GUILHERME     ,,2024.07.044-00,,,,6068-2024-0.011.644-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,18/10/2024,,,304.071.0017-1,,,,, ZC,,Z8-057.,SHOPPING CENTER NORT,,DAMATO MARKETING AUTOMOTIVO LTDA,,AV  OTTO BAUMGART 500 ,22/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.06.706-00,,,,6068-2024-0.010.761-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,27/09/2024,,,047.153.0001-1,,,,NR3.04, ZEU,,ZONA DE CENTRALIDADE POLAR - B.,MIRANDOPOLIS,,MITRA ARQUIDIOCESANA DE SÃO PAULO - PAROQUIA SAO JUDAS TADEU,,AV  JABAQUARA 2682 ,05/11/2024,SERGIO RAMALHO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.06.886-00,,,,6068-2024-0.011.501-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,15/10/2024,,,036.144.0003-4,,,,NR3.04, ZEPAM,,Z8-014.,IBIRAPUERA,,SAO PAULO SECRETARIA DO VERDE E DO MEIO AMBIENTE,,AV  PEDRO ALVARES CABRAL 999999 AREA EXTERNA AUD./ ,14/11/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.06.892-00,,,,6068-2024-0.011.443-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/10/2024,,,036.138.0154-1,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,/ VILA MARIANA,,CONFEDERAÇÃO BRASILEIRA DE TÊNIS,,R   MANUEL DA NOBREGA 1361 1111-GIN.IBIRAPUERA,14/11/2024,ANDRE EIRA IAGUE; LUIZ CARLOS MARCATO,,LUIZ CARLOS MARCATO,,,,
SMUL/CONTRU/DLR     ,VILA MARIANA                  ,,2024.07.171-00,,,,6068-2024-0.007.629-9,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,17/07/2024,,,037.100.0194-3,,,,NR3.04, ZEU,,Z3-235.,VILA MARIANA,,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRA,,R   PELOTAS 141 ,28/11/2024,CARLOS EDUARDO CARRARA; LUCIANA CHIQUINI FORTES,,,,,,
SMUL/CONTRU/DLR     ,VILA PRUDENTE                 ,,2024.07.175-00,,,,6068-2024-0.007.189-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,03/07/2024,,,118.451.0037-8,,,,NR2.15, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,PARQUE SAO LUCAS,,CONGREGACAO CRISTA NO BRASIL,,R   MARIA FETT 446 ,28/11/2024,ARMANDO FRANCISCO FERRO JUNIOR; ELIEZER ALEXANDRE DOMINGUES,,,,,,
SMUL/CONTRU/DLR     ,,,2024.06.664-00,,,,6068-2024-0.009.819-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/09/2024,,,107999999,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,IT'S MAGIC PRODUÇÕES E EVENTOS S/C LTDA,,PQ  ANHANGABAU 0 ,01/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.06.767-00,,,,6068-2024-0.009.793-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/09/2024,,,8731401708,,,,NR3.04, ZDE-2,,Z6-039.,SANTO AMARO,,PEOPLE COMUNICAÇÃO LTDA,,AV  DR     MARIO VILAS BOAS RODRIGUES 387 TRANS.EXPO CENTER/,08/11/2024,JOSE EDUARDO DO NASCIMENTO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.06.817-00,,,,6068-2024-0.011.249-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,09/10/2024,,,107999999,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,TRUPE PRODUÇÃO DE EVENTOS E MARKETING LTDA,,PQ  ANHANGABAU 0 ,12/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.06.844-00,,,,6068-2024-0.011.060-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,04/10/2024,,,107999999,,,,NR3-04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,COMPLO STUDIO LTDA,,PQ  ANHANGABAU 0 ,12/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.07.033-00,,,,6068-2024-0.010.766-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,27/09/2024,,,1507299999,,,,NR2.11, ZONA NÃO DEFINIDA,,ZONA MISTA DE MEDIA DENSIDADE.,PINHEIROS,,ART PLAY EVENTOS LTDA,,AV  BRIGADEIRO FARIA LIMA 800 LARGO DA BATATA,21/11/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,,,2024.07.074-00,,,,6068-2024-0.011.615-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,17/10/2024,,,107999999,,,,NR3.04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,"LIVE TALENTOS AGENCIAMENTO, PRODUÇÃO E PUBLICIDADE LTDA.",,PQ  ANHANGABAU 0 ,25/11/2024,MESAQUE MOTA BISPO; GABRIEL ALBERT SILVA BISPO,,MESAQUE MOTA BISPO; GABRIEL ALBERT SILVA BISPO,,,,
SMUL/GAB            ,M BOI MIRIM                   ,,2024.07.118-00,,,,0000-2011-0.360.708-8,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,21/12/2011,,,165.148.0016-4,,,,NR1-07, ZCL-A/002 LINDEIRA A ZM-2,,Z2.,JARDIM SAO LUIZ,"4.115,70",ASSOCIACAO CEDRO DO LIBANO DE PROTECAO A INFAN,"27.603,86",R   GUILHERME VALENTE 00131 ,26/11/2024,SEBASTIAO ANKERKRONE,,SEBASTIAO ANKERKRONE,,B: 0 P: 0 U: 0,,
SMUL/GTEC           ,IPIRANGA                      ,,2021.00.807-01,,,,0000-2003-1.057.384-6,,,,,,,APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003,,,,,21/11/2003,,,040.125.0046-5,,,,E3.1,,,Z3-169.,IPIRANGA,,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,"21.400,78",R   MOREIRA DE GODOI 00226 ,11/11/2024,ALVARO DO AMARAL ROCHA,,,,,,
