drive_id,titulo,destino,destino_folderId
1p4oVrEPWuXbtUgd84RlPra74eANf2bAq,Outorga Onerosa do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1a7Y7eC756t1NbYKp8M0Yo-6EuiA_KNOR,Certidão de Uso e Ocupação do Solo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1zy--Cx4wKvH72stiZSqpLXec05K-0y0b,Ativação de Zonas de Estruturação (ZEUP e ZEMP) por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1Sti8VuTpJN439jrdyzWeLIu1EUrRFnFg,Análise de Omissões da Legislação - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1xEvKnS65joB795TpMK64sRDvz9aocb2c,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 4 DE 4 DE ABRIL DE 2024 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1Oqg0xIPQzwJKnpYvXPMbx6SIGFh7imQg,PDE2013_SUBST2_Quadro_14_cadastro.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1oeSGOangR7Lg9TYEMrjFXSk18aTino8i,PDE2013_SUBST2_Quadro_9_viario-estrutural.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1wOSDStL2wPYQTB7hxXea354QH1VQxdh2,LEI Nº 16.050 DE 31 DE JULHO DE 2014 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1j4_wkUc-sVY_FPYYhAGpo7KWnfPdTOHa,ANEXOS_DO_PL_586_23___SEM_O_MAPA (1).pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1iRmrbQEBJktAZ8fvnq0dmqNZk4XChF2L,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 8 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1l_K7QSCfRXBOoSfzQ5YKYYJ3zJYv22oJ,PDE2013_SUBST2_Quadro_1_CA_Definicoes.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1SwxNlAD65zNBDjal_IDlO5r1jfii3lUi,PDE2013_SUBST2_Quadro_8_Residuos_solidos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1LBLNUJqFF3kAHzWLUKKjF5aeyHKX5GxP,PDE2013_SUBST2_Quadro_12_perimetro_cultural_paulista_luz.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1bH6QEeUohTbEInPo9zwturzDg8Ob5xLC,PDE2013_SUBST2_Quadro_10_Equipamentos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1jer7zuG7cISzczR_zrFMXojmZ6EsfBsE,PDE2013_SUBST2_Quadro_5_ Fator_interesse_social_Fs.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1ZeNM01_7xMVgzi7UG6sZJ2qXBj4xlngW,PDE2013_SUBST2_Quadro_11_polo_de_economia_criativa.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1DET4erUd7b1uBmJi-sMqmK7QcznIBbag,PDE2013_SUBST2_Quadro_6_Fator_planejamento_Fp.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1NRaluhpGBbOEVg9gF5EZZtRg6MFPtBJ3,PDE2013_SUBST2_Quadro_4_percentuais_ZEIS.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
1f0CwPmCAzFCbsS8yMGKk1oX6a7dWvlUo,PDE2013_SUBST2_Quadro_7_Parques_municipais_existentes_propostos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),1WO6GyvQs-fSwDclrdWvcw8Aky6P4VAPp
