tipo,id,nome,destino,status,obs
arquivo,1HgiTJnG418wI6Toia87LpioloxME2o9f,LEI Nº 16.402.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1Q1264Ei9IVZ018sz5rPl-wdZYRmVeevo,LEI Nº 16.642 DE 9 DE MAIO DE 2017 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1brUHafl6KsWcvk0qvX-MZkpcyHRoLlDo,metadados smul.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1drqYr5XO0IfOhFtui1mRtDXPVwXCVvRy,OUAguaBranca31dez18_EstoqueAnaliseOutorga.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1e_I8tnXcsXUddvTnBvRrGuzS6O1bJSiU,OUAguaBranca31dez18_EstoqueConsumidoOutorga.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1Fdg7wpXLSOisdqMqPWY3QXNZVv10afbC,OUAguaBranca31dez18_EstoqueGeralOutorga.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1kz5qraVK6wzWz5uvekBld9zSUeMYzUNM,OUAguaBrancaFinanceiroOutorgaMar24_Publicacao.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1p4oVrEPWuXbtUgd84RlPra74eANf2bAq,Outorga Onerosa do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1bH6QEeUohTbEInPo9zwturzDg8Ob5xLC,PDE2013_SUBST2_Quadro_10_Equipamentos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1ZeNM01_7xMVgzi7UG6sZJ2qXBj4xlngW,PDE2013_SUBST2_Quadro_11_polo_de_economia_criativa.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1LBLNUJqFF3kAHzWLUKKjF5aeyHKX5GxP,PDE2013_SUBST2_Quadro_12_perimetro_cultural_paulista_luz.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1xKA5rRVMtaAPcczrhU2nDGU4QPTkCGtc,PDE2013_SUBST2_Quadro_13_perimetro_tecnológico_jaguaré.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1Oqg0xIPQzwJKnpYvXPMbx6SIGFh7imQg,PDE2013_SUBST2_Quadro_14_cadastro.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1l_K7QSCfRXBOoSfzQ5YKYYJ3zJYv22oJ,PDE2013_SUBST2_Quadro_1_CA_Definicoes.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1x0k9Pu-yoKCVpy3Luw7ymcGs8rKlP-P4,PDE2013_SUBST2_Quadro_2_CA_Eixos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1D0bge5O8yc60b8pHV4foQSrXF1kuw-Ax,PDE2013_SUBST2_Quadro_2A_CA_Macroareas.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1MWeMRIjLE-BmkCNhZwM56nN1wX3Hcw08,PDE2013_SUBST2_Quadro_3_CA_ZEIS.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1NRaluhpGBbOEVg9gF5EZZtRg6MFPtBJ3,PDE2013_SUBST2_Quadro_4_percentuais_ZEIS.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1jer7zuG7cISzczR_zrFMXojmZ6EsfBsE,PDE2013_SUBST2_Quadro_5_ Fator_interesse_social_Fs.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1DET4erUd7b1uBmJi-sMqmK7QcznIBbag,PDE2013_SUBST2_Quadro_6_Fator_planejamento_Fp.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1f0CwPmCAzFCbsS8yMGKk1oX6a7dWvlUo,PDE2013_SUBST2_Quadro_7_Parques_municipais_existentes_propostos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1SwxNlAD65zNBDjal_IDlO5r1jfii3lUi,PDE2013_SUBST2_Quadro_8_Residuos_solidos.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1oeSGOangR7Lg9TYEMrjFXSk18aTino8i,PDE2013_SUBST2_Quadro_9_viario-estrutural.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1BSCKQCp-VQGvn9Po5i49aSoxsXnwIpsU,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 172 DE 10 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1iRmrbQEBJktAZ8fvnq0dmqNZk4XChF2L,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 8 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1IG6c6A7J6-IHTlMi9cyw1odTQiW5-EmL,PRONUNCIAMENTO SMUL.ATECC.CTLU_001_2024 - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1iLgAyoAkqz27OpBoS_WeWNOd3IHP0Izt,RESOLUÇÃO SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO - SMDU_CTLU Nº 12 DE 17 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1VgnEQYGGE38WrfFD8RugGFtiAq1c6Z4q,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1kv8n-gh5bCv-GmsEl_zDVQxaxXCVyGzL,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 2 DE 2 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1eQSukZchES9PzOG7nmQVjc3-fJoMlUJQ,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 3 DE 7 DE OUTUBRO DE 2021 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1ybtcOHluFmb20wrFsEU_wHkCnE3L4H5t,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 138 DE 14 DE JUNHO DE 2021 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1KJ1Atleeb7VsooECZbbB-tkERscukH0B,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 141 DE 8 DE FEVEREIRO DE 2021 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1Mr4uuuaWz7gzGxux5zSFJ7TZDQzx_h3w,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
arquivo,1MJgWT2CBbcPYADQYeXyJEpIMGSwHj7yb,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),PLANEJADO,
