sql_mestre,x,y,epsg,status
0020140010,333933.73608,7396157.173559999,31983,ok
0020140011,333927.103925,7396156.920162501,31983,ok
0020140012,333919.07204444445,7396162.56941111,31983,ok
0020140013,333917.9121555556,7396159.6561888885,31983,ok
0020140014,333912.46609999996,7396152.49506,31983,ok
0020140015,333911.95560000004,7396146.639983334,31983,ok
0020140016,333922.3356428571,7396146.26087143,31983,ok
0020140017,333927.48504,7396141.752919999,31983,ok
0020140018,333934.2359142857,7396142.544757143,31983,ok
0020140019,333936.9118571429,7396139.240828572,31983,ok
0020140020,333942.15192,7396138.98236,31983,ok
0020140021,333946.84148,7396137.094500001,31983,ok
0020140022,333951.08608,7396132.284659999,31983,ok
0020150005,333943.1478714286,7396112.246185714,31983,ok
0020150006,333939.26458,7396115.453740001,31983,ok
0020150007,333934.32162,7396117.3838,31983,ok
0020150008,333927.6540142857,7396115.612999999,31983,ok
0020150009,333924.1054142858,7396117.007057143,31983,ok
0020150010,333919.25065000006,7396121.78645,31983,ok
0020150011,333914.96597142855,7396124.466157144,31983,ok
0020150012,333906.1573444444,7396128.640477778,31983,ok
0020150013,333904.72703,7396124.856380001,31983,ok
0020150014,333900.1588,7396118.6792,31983,ok
0020150015,333900.0232,7396111.7886833325,31983,ok
0020150016,333910.25204999995,7396110.1512124995,31983,ok
0020150017,333913.8037375,7396109.707125,31983,ok
0020150018,333921.018975,7396108.8333125,31983,ok
0020150019,333922.93356250005,7396106.163287501,31983,ok
0020150020,333928.06201999995,7396104.76948,31983,ok
0020150021,333932.99634,7396102.819340001,31983,ok
0020150022,333939.31862857146,7396100.540014285,31983,ok
0020160000,333837.5288363637,7396110.690854546,31983,ok
0020160002,333857.0611714286,7396103.492485714,31983,ok
0020160003,333862.89,7396097.8668875,31983,ok
0020160004,333868.5542,7396094.8991,31983,ok
0020160005,333880.65221428574,7396094.428357142,31983,ok
0020160006,333884.19346000004,7396090.250820001,31983,ok
0020160007,333887.5296777778,7396088.415233334,31983,ok
0020160008,333895.4705,7396089.640666667,31983,ok
0020160009,333897.2552142857,7396084.702871428,31983,ok
0020160010,333904.9644875,7396085.318112499,31983,ok
0020160011,333906.49934999994,7396082.4552374985,31983,ok
0020160012,333914.7070285714,7396083.1256,31983,ok
0020160013,333917.3944428571,7396082.230557144,31983,ok
0020160014,333923.37378749996,7396077.082300002,31983,ok
0020160015,333927.6383888889,7396077.688622223,31983,ok
0020160016,333933.18687,7396075.761659999,31983,ok
0020160019,333873.5679526317,7396074.333223683,31983,ok
0020170080,334102.8069375,7395862.2482791655,31983,ok
0020220094,,,31983,sem_lote
0020310001,333673.1727954545,7395553.112154544,31983,ok
