sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
1711920356,566240.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
0503403725,175630.00,2023-02-01,1.Compra e venda,itbi_1.xlsx
6206106497,560000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
8241900465,470000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
5013400521,415000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
5013400708,40000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1900850058,330000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
8001301575,1260000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1000240168,403750.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1000240062,21250.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1831270552,235000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1651930034,647000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1500203807,875000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1131530011,400000.00,2022-12-30,1.Compra e venda,itbi_1.xlsx
1420320067,147000.00,2022-12-27,3.Adjudicação (vinculada a processo de execução ou cobrança de dívida),itbi_1.xlsx
2001102933,500000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1440180005,264000.00,2023-01-30,1.Compra e venda,itbi_1.xlsx
3040930004,221332.00,2025-01-17,1.Compra e venda,itbi_3.xlsx
1610611691,401426.34,2023-01-30,1.Compra e venda,itbi_1.xlsx
4112601883,558210.50,2023-01-03,1.Compra e venda,itbi_1.xlsx
9308801634,310648.20,2023-01-03,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
4309500234,300000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
2805000811,608444.96,2023-02-01,1.Compra e venda,itbi_1.xlsx
1572292157,250000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
8701100963,815000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1211801081,820000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1302000195,220000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
2208003217,745000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1960210052,200000.00,2023-01-20,1.Compra e venda,itbi_1.xlsx
2140200732,260000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1704700736,435848.92,2023-02-06,1.Compra e venda,itbi_1.xlsx
4306704106,1000000.00,2023-01-04,12.Dação em pagamento por escritura pública,itbi_1.xlsx
