sql_mestre,area_terreno,area_construida,valor_m2_terreno,valor_m2_construcao,ano_construcao,fator_obsolescencia_oficial,tipo_terreno,esquinas_frentes,fracao_ideal,codlog,uso,padrao,endereco
1960180060,59,116,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 38"
1960180061,54,116,2017.00,2249.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão C,"R  CARUAPANA, 40"
1960180074,54,74,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 47"
1960180075,59,85,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 45"
1960180076,57,85,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 43"
1960180077,57,85,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 41"
1960180078,57,100,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 39"
1960180079,57,72,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 37"
1960180080,57,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 35"
1960180081,54,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 33"
1960180082,57,70,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 31"
1960180083,57,83,2017.00,2198.00,1933,0.20,Normal,0,1.0000,30622-3,Residência,Residencial horizontal - padrão B,"R  CARUAPANA, 29"
