sql_mestre,x_utm23s,y_utm23s,origem_ponto,zona_v3,zona_18177,status
0370340017,332532.37,7390787.82,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340018,332524.83,7390784.42,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340019,332521.01,7390779.19,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340020,332512.52,7390776.66,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340021,332505.58,7390775.95,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340022,332499.04,7390775.83,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340038,332479.84,7390797.60,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340039,332488.17,7390795.85,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340071,332554.31,7390797.56,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340073,332545.98,7390790.58,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340074,332550.16,7390793.08,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370350010,332693.54,7390911.64,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370350023,332601.01,7390901.67,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0380050022,332712.43,7392592.24,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0380120092,332373.48,7392177.32,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0400370006,335852.97,7390995.85,centroide_lote_cidadao,,ZM,ok_vigente_18177
0401160001,335718.34,7390094.75,centroide_lote_cidadao,,ZC,ok_vigente_18177
0401990203,335065.25,7389988.55,centroide_lote_cidadao,,ZC,ok_vigente_18177
0412720007,329496.85,7388222.68,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0412720029,329514.75,7388200.08,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0412720030,329520.04,7388203.20,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0412730008,329548.06,7388179.89,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0412730009,329539.76,7388177.40,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0420250029,333060.06,7389647.76,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0420250030,333053.36,7389647.75,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0420530001,333067.74,7389490.43,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0420530003,333058.10,7389531.08,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0420770269,333059.55,7389403.46,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0462320001,333959.63,7388070.39,centroide_lote_cidadao,,ZC,ok_vigente_18177
0501130007,336515.83,7388958.44,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0501140016,336602.39,7388976.90,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0501150004,336578.84,7388907.03,centroide_lote_cidadao,,ZEM,ok_vigente_18177
0501150005,336571.59,7388902.08,centroide_lote_cidadao,,ZEM,ok_vigente_18177
