sql_mestre,zona,ca_basico,fonte,na_aiu_sce
0090370009,ZEU,1,ZEU_u.shp,
0090380001,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090380002,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090380003,ZM,1,GeoSampa(Lei18177→ZM)+Q3,
0090380004,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380005,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380006,ZEU,1,ZEU_u.shp,
0090380007,ZEU,1,ZEU_u.shp,
0090380009,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380010,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380013,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380014,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380017,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380020,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380026,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380027,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380029,ZEU,1,ZEU_u.shp,
0090380031,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380034,ZEU,1,ZEU_u.shp,
0090380040,ZEU,1,ZEU_u.shp,
0090380048,ZEU,1,ZEU_u.shp,
0090380049,ZEU,1,ZEU_u.shp,
0090380050,ZEU,1,ZEU_u.shp,
0090380051,ZEU,1,ZEU_u.shp,
0090380059,ZEU,1,ZEU_u.shp,
0090380060,ZEU,1,ZEU_u.shp,
0090380061,ZEU,1,ZEU_u.shp,
0090380062,ZEU,1,ZEU_u.shp,
0090380063,ZEU,1,ZEU_u.shp,
0090380064,ZEU,1,ZEU_u.shp,
0090380066,ZEU,1,ZEU_u.shp,
0090380074,ZEU,1,ZEU_u.shp,
0090380075,ZEU,1,ZEU_u.shp,
0090380076,ZEU,1,ZEU_u.shp,
0090380077,ZEU,1,ZEU_u.shp,
0090380078,ZEU,1,ZEU_u.shp,
0090380079,ZEU,1,ZEU_u.shp,
0090380080,ZEU,1,ZEU_u.shp,
0090380081,ZEU,1,ZEU_u.shp,
0090380082,ZEU,1,ZEU_u.shp,
0090380083,ZEU,1,ZEU_u.shp,
0090380087,ZEU,1,ZEU_u.shp,
0090380088,ZM,1,GeoSampa(Lei18177→ZM)+Q3,1
0090380139,ZEU,1,ZEU_u.shp,
0090390000,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090390063,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090390069,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090390083,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0090390084,ZEIS-5,1,ZEIS_5.shp,
0090400001,ZEIS-5,1,ZEIS_5.shp,
0090400002,ZEIS-5,1,ZEIS_5.shp,
