sql_mestre,zona_no_ssot,endereco_geocodificado,dist_ao_centroide_oficial_m,fora_do_municipio,veredito,motivo
0060090085,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090086,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090087,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090088,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090089,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090090,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090091,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090092,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090093,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090094,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090095,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090096,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090097,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090098,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090099,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060100552,ZC,"AV  IPIRANGA, 770",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060100553,ZC,"AV  IPIRANGA, 786",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150726,ZC,"R  MARCONI, 101",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150727,ZC,"R  MARCONI, 113",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150728,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150729,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150730,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150731,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150732,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150733,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150734,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150735,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060150736,ZC,"R  MARCONI, 107",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
