sql_mestre,zona_no_ssot,endereco_geocodificado,dist_ao_centroide_oficial_m,fora_do_municipio,veredito,motivo
0080020444,ZEM,"R  VITORINO CARMILO, 453",7,,APROVADO,ponto a 7 m do centroide oficial do lote
0150110016,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 79",7,,APROVADO,ponto a 7 m do centroide oficial do lote
0150110017,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 83",7,,APROVADO,ponto a 7 m do centroide oficial do lote
0150110018,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 91",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1041250017,ZC,"LG DA MATRIZ DE NOSSA SENHORA DO O, 168",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960180008,ZM,"R  CARUAPANA, 2",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960180042,ZM,"R DO CURIMA, 19",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960180043,ZM,"R DO CURIMA, 17",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960180047,ZM,"R DO CURIMA, 9",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960180097,ZM,"R  CARUAPANA, 1",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960230012,ZM,"R  OTAVIO PARIS, 83",7,,APROVADO,ponto a 7 m do centroide oficial do lote
1960290002,ZM,"R IRMA PAULA LOEBENSTEIN, 37",7,,APROVADO,ponto a 7 m do centroide oficial do lote
0150110057,ZPR,"R DR PHIDIAS DE BARROS MONTEIRO, 41",6,,APROVADO,ponto a 6 m do centroide oficial do lote
0150120024,ZPR,"R DR VIRGILIO DE CARVALHO PINTO, 91",6,,APROVADO,ponto a 6 m do centroide oficial do lote
0180500269,ZC,"PC CEL FERNANDO PRESTES, 152",6,,APROVADO,ponto a 6 m do centroide oficial do lote
0200500019,ZEM,"PC MAL DEODORO, 432",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960180046,ZM,"R DO CURIMA, 11",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960180049,ZM,"R DO CURIMA, 5",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960180051,ZM,"R DO CURIMA, 1",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960180101,ZM,"R  INTENDENCIA, 30",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960180102,ZM,"R  INTENDENCIA, 40",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960230008,ZM,"R  JOSE ALVES DE OLIVEIRA, 64",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960250002,ZM,"R  OTAVIO PARIS, 37",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960330001,ZM,"R  ADILSON FARIAS CLARO, 51",6,,APROVADO,ponto a 6 m do centroide oficial do lote
1960330008,ZM,"R IRMA PAULA LOEBENSTEIN, 48",6,,APROVADO,ponto a 6 m do centroide oficial do lote
0040430090,ZEIS-5,"R  GLICERIO, 861",5,,APROVADO,ponto a 5 m do centroide oficial do lote
0100900001,ZEU,"AL  JAU, 1061",5,,APROVADO,ponto a 5 m do centroide oficial do lote
0150130019,ZPR,"R DOS PINHEIROS, 436",5,,APROVADO,ponto a 5 m do centroide oficial do lote
0200640012,ZEM,"R  ROSA E SILVA, 121",5,,APROVADO,ponto a 5 m do centroide oficial do lote
0873790187,ZM,"AV  JOAO DIAS, 754",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960180044,ZM,"R DO CURIMA, 15",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960180048,ZM,"R DO CURIMA, 7",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960180050,ZM,"R DO CURIMA, 3",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960180095,ZM,"R  CARUAPANA, 5",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960180096,ZM,"R  CARUAPANA, 3",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960230005,ZM,"R  JOSE ALVES DE OLIVEIRA, 84",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960260004,ZM,"R  OTAVIO PARIS, 84",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960260006,ZM,"R  OTAVIO PARIS, 66",5,,APROVADO,ponto a 5 m do centroide oficial do lote
1960290001,ZM,"R IRMA PAULA LOEBENSTEIN, 47",5,,APROVADO,ponto a 5 m do centroide oficial do lote
0040430002,ZEIS-5,"R DO LAVAPES, 27",4,,APROVADO,ponto a 4 m do centroide oficial do lote
0111140014,ZC,"PC  VILABOIM, 89",4,,APROVADO,ponto a 4 m do centroide oficial do lote
0111140015,ZC,"PC  VILABOIM, 93",4,,APROVADO,ponto a 4 m do centroide oficial do lote
1960180045,ZM,"R DO CURIMA, 13",4,,APROVADO,ponto a 4 m do centroide oficial do lote
1960250008,ZM,"R  JOSE ALVES DE OLIVEIRA, 50",4,,APROVADO,ponto a 4 m do centroide oficial do lote
1960290003,ZM,"R IRMA PAULA LOEBENSTEIN, 35",4,,APROVADO,ponto a 4 m do centroide oficial do lote
1960330006,ZM,"R IRMA PAULA LOEBENSTEIN, 36",4,,APROVADO,ponto a 4 m do centroide oficial do lote
0040430001,ZEIS-5,"R DO LAVAPES, 15",3,,APROVADO,ponto a 3 m do centroide oficial do lote
0060201095,ZC,"R  MARTINHO PRADO, 128",3,,APROVADO,ponto a 3 m do centroide oficial do lote
0420770011,ZEU,"R  DOMINGOS DE MORAIS, 2463",3,,APROVADO,ponto a 3 m do centroide oficial do lote
1960330007,ZM,"R IRMA PAULA LOEBENSTEIN, 40",3,,APROVADO,ponto a 3 m do centroide oficial do lote
0111140013,ZC,"PC  VILABOIM, 85",2,,APROVADO,ponto a 2 m do centroide oficial do lote
1960290004,ZM,"R IRMA PAULA LOEBENSTEIN, 25",2,,APROVADO,ponto a 2 m do centroide oficial do lote
0180630001,ZC,"R  RIBEIRO DE LIMA, 158",1,,APROVADO,ponto a 1 m do centroide oficial do lote
1723120963,ZM,"R  AZOR SILVA, 77",1,,APROVADO,ponto a 1 m do centroide oficial do lote
1960250001,ZM,"R  OTAVIO PARIS, 47",1,,APROVADO,ponto a 1 m do centroide oficial do lote
1960290006,ZM,"R  OTAVIO PARIS, 36",1,,APROVADO,ponto a 1 m do centroide oficial do lote
0010440096,ZC,"AV  IPIRANGA, 1284",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010570239,ZC,"R  ANTONIO DE GODOI, 96",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010580093,ZC,"AV S JOAO, 288",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010720139,ZC,"AV S JOAO, 61",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010800202,ZC,"R  LIBERO BADARO, 336",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010800203,ZC,"R  LIBERO BADARO, 336",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010800204,ZC,"R  LIBERO BADARO, 336",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010800205,ZC,"R  LIBERO BADARO, 336",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010800206,ZC,"R  LIBERO BADARO, 336",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0010800207,ZC,"R  LIBERO BADARO, 336",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070247,ZC,"AV S LUIS, 29",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070248,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070250,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070252,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070253,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070254,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070255,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070256,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070257,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070258,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070259,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070260,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070261,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070262,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070263,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070264,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070265,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070266,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070267,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070268,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070269,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070270,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070271,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060070986,ZC,"PC DA REPUBLICA, 32",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090082,ZC,"R  VINTE E QUATRO DE MAIO, 221",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090083,ZC,"R  VINTE E QUATRO DE MAIO, 229",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
0060090084,ZC,"R  VINTE E QUATRO DE MAIO, 225",,,NAO_CONFERIVEL,lote sem centroide oficial (sem_lote em lote_cidadao) — nada para confrontar
