uso,tipo,tema,oficialidade,nome,path,bytes,drive_id
USAR,PDF,TDC,OFICIAL,Certidão de Transferência de Potencial Construtivo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,01A_BRONZE_OFICIAL,477484,1ZgEd475GTLP9V1P-07HW87fK5WC4iXEp
USAR,PORTARIA,JURIDICO,OFICIAL,PORTARIA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 172 DE 10 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,150304,1MbFnZZ3ja6GG1aqRKeNrdwz-jqUv7oY0
USAR,PDF,OUTRO,OFICIAL,Transferência do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,01A_BRONZE_OFICIAL,462686,14-e28yizPFfGKFPQtC9EzaMeGtxhV-eN
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 59.163 DE 27 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,173827,1YOYzwFGkmqBxmLv1UeNUVIkoMFISGee-
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.975 DE 8 DE JULHO DE 2023 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,687512,1oGLQLhsuNiRNKI1OFEQOKD9_yLZz5vLh
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.776 DE 7 DE JULHO DE 2017 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,449142,1nJDAgOZ4A8h3FDyCOFci7KtnNG-3cCzg
USAR,DECRETO,JURIDICO,OFICIAL,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021.pdf,01A_BRONZE_OFICIAL,946445,13xwGaxE6JMRxzCLAX30TMvm2g__9sXgW
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.733 DE 11 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,155305,19eg7UWxANmBBVCTOKnDCh0B62i1tnn30
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 61.218 DE 6 DE ABRIL DE 2022 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,75701,1ep-gZ0wMEbp1WlDTqgJr5UyklztvJo7V
USAR,PDF,OUTRO,OFICIAL,Projeto de Intervenção Urbana apresentado por particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,01A_BRONZE_OFICIAL,455756,1sedrFriE2wbcq15MBfxHdqbVTEsihq3J
USAR,PDF,TDC,OFICIAL,Declaração de Potencial Construtivo Passível de Transferência - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,01A_BRONZE_OFICIAL,468616,14JXh_1AU-tDhQPZbk_NalxTX02Jrd5yO
USAR,PLANILHA,GEO,OFICIAL,metadados_geosampa_apas.ods,01A_BRONZE_OFICIAL,6573,15myKX357jWnCT_-_gUBUXcv2qJwJUmI2
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 64.018 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,304988,1RxttP94l5bveafN3Vd1Pi9ILhj9Uvbex
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 58.028 DE 11 DE DEZEMBRO DE 2017 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,150476,1UUqrfK1bCnj_qbQ-yk_yYVPnTFqV-UYg
USAR,PLANILHA,GEO,OFICIAL,biosampa_geosampa_apas.ods,01A_BRONZE_OFICIAL,3613,1iqAtZbMs2I-R23EtBtkvxvAkLWphL6-1
USAR,TABELA_DADO,GEO,OFICIAL,dicionario_geosampa_apas_variaveis.csv,01A_BRONZE_OFICIAL,1549,1v9pZ_RJKE8PvyTB3BP6TKLZcXvmCOzsx
USAR,OUTRO,GEO,OFICIAL,layer_geosampa_apas.gpkg,01A_BRONZE_OFICIAL,270336,1DNICyPFGWu49dsgmJNsTuCrpr6hDzCa0
USAR,PORTARIA,JURIDICO,OFICIAL,Portaria CAT 15 de 2003.pdf,01A_BRONZE_OFICIAL,930754,1N8ITxvm7aKpUl8Q6T9lEfp9pDWx1uBLB
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 18.081 DE 19 DE JANEIRO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,131846,10uOeEyq84VCy1gmsf_vMdwb6Zz7kPSt2
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 16.050 DE 31 DE JULHO DE 2014 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,624172,14ugliePoE0ZA5M3mQz-xqMmcl69g4C3q
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 60.581 DE 27 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,11218,1cc9GXkRuoLhaZIrCzcxSSZQfHL6X_5yl
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.565 DE 27 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,23317,1w5C8PTG5RHj3ogZfnYTmsvnZgv3g0pvU
USAR,OUTRO,OUTRO,OFICIAL,Projeto de Intervenção Urbana apresentado por particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.md,01A_BRONZE_OFICIAL,6577,1__JQm_-V8Dz4msXU9v0Gcx6eFRXMBGWj
