sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar,achou_geosampa,area_m2_geosampa,classe_final
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,sim,NAO_VENDAVEL_LEI,sql_invalido,,DESCARTE_VEDADO_LEI
,,nao,nao,sim,NAO_VENDAVEL_LEI,sql_invalido,,DESCARTE_VEDADO_LEI
,,nao,nao,sim,NAO_VENDAVEL_LEI,sql_invalido,,DESCARTE_VEDADO_LEI
,,nao,nao,sim,NAO_VENDAVEL_LEI,sql_invalido,,DESCARTE_VEDADO_LEI
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
0090000000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0010870000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0893200001,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0110120000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0100040000,,sim,sim,sim,NAO_VENDAVEL_LEI,sim,865.00,DESCARTE_VEDADO_LEI
0000000000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0100690001,,sim,nao,sim,NAO_VENDAVEL_LEI,sim,5368.84,DESCARTE_VEDADO_LEI
0361440000,,nao,nao,sim,NAO_VENDAVEL_LEI,nao,,DESCARTE_VEDADO_LEI
0060000000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0950000000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
2519990000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0050460000,,sim,sim,sim,NAO_VENDAVEL_LEI,sim,158.00,DESCARTE_VEDADO_LEI
0020590055,,nao,sim,sim,NAO_VENDAVEL_LEI,nao,,DESCARTE_VEDADO_LEI
0620000000,,nao,nao,sim,NAO_VENDAVEL_LEI,inconclusivo,,DESCARTE_VEDADO_LEI
0642070000,,nao,nao,sim,NAO_VENDAVEL_LEI,nao,,DESCARTE_VEDADO_LEI
0050440116,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,sql_invalido,,DESCARTE_SQL_INVALIDO
