sql_mestre,setor,quadra,lote,nome_bem,endereco_mestre,distrito,proprietario,fonte_dono,tipo_zepec,esfera,estado_venda,certeza,negociavel,motivo_negociavel,sinais_revisar,m2_ja_transferido,n_transferencias,valor_pecuniario_rs,status_fundurb,intercorrencia_fundurb,base_periodo_fundurb_rs,tem_declaracao,tem_certidao,esgotado,data_ref,origens,obs,area_terreno_m2,area_construida_m2,v_venal_m2_iptu,v_outorga_m2_q14,zona,ca_basico,pcpt_m2,preco_proxy_brl,uso_iptu,cobertura_oficial,memoria_calculo,pendencia_calculo
0060560073,006,056,0073,Bairro da Bela Vista,"Rua Japurá, 330",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,75,120,5845.00,3601.85,ZOE,,,,Residência,IPTU2026+Q14+Zona,,CAbás: zona ZOE sem CA no Quadro 3 (overlay — resolver zona-base)
0060550000,006,055,0000,Bairro da Bela Vista,"Rua Jardim Heloísa, 43, 45",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,,,,,ZEPEC_APC,,,,,Zona,,Atc: SQL sem cadastro no IPTU | CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0080810014,008,081,0014,Imóveis Enquadrados Como Z8-200 (atual Zepec) No Bairro de Santa Ifigênia,"Rua Santa Ifigênia, 383, 389",República,,,tombado,municipal+estadual,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2019-10-30,TOMBADO_CADASTRO,,248,510,19674.00,18181.99,ZC,1,248.00,4509133.52,Não residencial,IPTU2026+Q14+Zona,PCpt = Atc(248) × CAbas(1) × Fi(1) = 248.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060080032,006,008,0032,Área do Anhangabaú,"Rua Dom José de Barros, 99",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,90,250,10302.00,8384.73,ZC,1,90.00,754625.70,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(90) × CAbas(1) × Fi(1) = 90.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060390012,006,039,0012,Bairro da Bela Vista,"Rua Doutor Ricardo Batista, 67",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,339,400,5767.00,3216.40,ZC,1,339.00,1090359.60,Cortiço,IPTU2026+Q14+Zona,PCpt = Atc(339) × CAbas(1) × Fi(1) = 339.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060730009,006,073,0009,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 170, 172",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,109,180,5942.00,3665.31,ZEPEC_APC,,,,Residência e outro uso (predominância residencial),IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0050340020,005,034,0020,Bairro da Bela Vista,"Rua Aguiar de Barros, 67",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,192,160,7613.00,3712.31,ZC,1,192.00,712763.52,Residência e outro uso (predominância residencial),IPTU2026+Q14+Zona,PCpt = Atc(192) × CAbas(1) × Fi(1) = 192.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060390028,006,039,0028,Bairro da Bela Vista,"Rua São Domingos, 242",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,96,166,6189.00,3979.07,ZC,1,96.00,381990.72,Residência,IPTU2026+Q14+Zona,PCpt = Atc(96) × CAbas(1) × Fi(1) = 96.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060090006,006,009,0006,Área do Anhangabaú,"Rua Vinte e Quatro de Maio, 233, 237",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,370,965,10271.00,8310.69,ZC,1,370.00,3074955.30,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(370) × CAbas(1) × Fi(1) = 370.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060680017,006,068,0017,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 108, 110, 288, 292",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,130,220,6121.00,4011.98,ZEPEC_APC,,,,Loja e residência (predominância comercial),IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0060510038,006,051,0038,Bairro da Bela Vista,"Rua Doutor Nestor Esteves Natividade, 10",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,48,70,8467.00,3335.09,ZC,1,48.00,160084.32,Residência,IPTU2026+Q14+Zona,PCpt = Atc(48) × CAbas(1) × Fi(1) = 48.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060640000,006,064,0000,Área do Anhangabaú / Edifício Itália,"Avenida Ipiranga, 336, 344, 354, 360, 364, 376, 30, 34, 50, 60, 68, 72",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,2018-08-15,TOMBADO_CADASTRO,,,,,,ZC,1,,,,Zona,,Atc: SQL sem cadastro no IPTU
0050240050,005,024,0050,Bairro da Bela Vista,"Rua Francisca Miquelina, 39, 67",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,604,6604,13881.00,6169.56,ZEPEC_APC,,,,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0060680018,006,068,0018,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 106",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,104,140,6121.00,4011.98,ZEPEC_APC,,,,Residência e outro uso (predominância residencial),IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0060320000,006,032,0000,Área do Anhangabaú,"Rua Álvaro de Carvalho, 75, 77, 79",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,,,,,ZC,1,,,,Zona,,Atc: SQL sem cadastro no IPTU
0060530030,006,053,0030,Antiga Escola de Primeiras Letras / Bairro da Bela Vista,"Rua Aguiar de Barros, 160, 487",República,,,tombado,municipal+estadual,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-05-18,TOMBADO_CADASTRO,,360,190,9133.00,4162.40,ZC,1,360.00,1498464.00,Escola,IPTU2026+Q14+Zona,PCpt = Atc(360) × CAbas(1) × Fi(1) = 360.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060480040,006,048,0040,Bairro da Bela Vista,"Rua Abolição, 306",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,85,120,6031.00,3779.30,ZC,1,85.00,321240.50,Loja,IPTU2026+Q14+Zona,PCpt = Atc(85) × CAbas(1) × Fi(1) = 85.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060490018,006,049,0018,Bairro da Bela Vista,"Rua Jardim Francisco Marcos, 81",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,85,90,6042.00,3780.47,ZC,1,85.00,321339.95,Residência,IPTU2026+Q14+Zona,PCpt = Atc(85) × CAbas(1) × Fi(1) = 85.00 m²,OK (Atc+CAbás+V) — cálculo completo
