sql_mestre,classe,achou,area_m2,props
1970330113,RECUPERAVEL,sim,32800.00,{"cd_identificador":7018342;"cd_identificador_original_lote":10800944;"cd_setor_fiscal":"197";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"033";"cd_subquadra_fiscal":null;"cd_condominio":"00";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0113";"cd_situacao":1;"cd_digito_sql":"3";"cd_logradouro":"134171";"nm_logradouro_completo":"AV STA MARINA";"cd_numero_porta":"394";
0090170041,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090170040,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090170043,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090170042,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090170000,RECUPERAVEL,sim,409.00,{"cd_identificador":1960139;"cd_identificador_original_lote":8793812;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"017";"cd_subquadra_fiscal":null;"cd_condominio":"10";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"172375";"nm_logradouro_completo":"R ROCHA";"cd_numero_porta":"248";"tx_co
0090700000,RECUPERAVEL,sim,1500.00,{"cd_identificador":1959935;"cd_identificador_original_lote":8794670;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"070";"cd_subquadra_fiscal":null;"cd_condominio":"06";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"136190";"nm_logradouro_completo":"R MARTINIANO DE CARVALHO";"cd_numero_po
0090230033,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0330080002,RECUPERAVEL,sim,795.01,{"cd_identificador":2049058;"cd_identificador_original_lote":8805599;"cd_setor_fiscal":"033";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"008";"cd_subquadra_fiscal":null;"cd_condominio":"00";"cd_tipo_lote":"V";"tx_tipo_lote":"Via de Acesso";"cd_lote":"0002";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":null;"nm_logradouro_completo":null;"cd_numero_porta":null;"tx_compl
0330080000,RECUPERAVEL,sim,225.00,{"cd_identificador":2015392;"cd_identificador_original_lote":8804309;"cd_setor_fiscal":"033";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"008";"cd_subquadra_fiscal":null;"cd_condominio":"06";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"042447";"nm_logradouro_completo":"R MAEST CARDIM";"cd_numero_porta":"108 
0330050000,RECUPERAVEL,sim,345.00,{"cd_identificador":1977537;"cd_identificador_original_lote":8803177;"cd_setor_fiscal":"033";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"005";"cd_subquadra_fiscal":null;"cd_condominio":"02";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"136190";"nm_logradouro_completo":"R MARTINIANO DE CARVALHO";"cd_numero_po
0330010000,RECUPERAVEL,sim,378.00,{"cd_identificador":1999317;"cd_identificador_original_lote":8805704;"cd_setor_fiscal":"033";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"001";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"035122";"nm_logradouro_completo":"R DOS BOROROS";"cd_numero_porta":"46";"
0100990000,RECUPERAVEL,sim,2908.00,{"cd_identificador":7230768;"cd_identificador_original_lote":10917978;"cd_setor_fiscal":"010";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"099";"cd_subquadra_fiscal":null;"cd_condominio":"06";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"041203";"nm_logradouro_completo":"R FREI CANECA";"cd_numero_porta":"1355
0090710000,RECUPERAVEL,sim,700.00,{"cd_identificador":1960724;"cd_identificador_original_lote":8793567;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"071";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"136190";"nm_logradouro_completo":"R MARTINIANO DE CARVALHO";"cd_numero_po
