sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar
0050100003,,sim,sim,nao,RECUPERAVEL
0050010000,,sim,sim,nao,RECUPERAVEL
0020700000,,sim,sim,nao,RECUPERAVEL
0010830000,,sim,sim,nao,RECUPERAVEL
0010490018,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010750000,,sim,sim,nao,RECUPERAVEL
0050020000,,sim,sim,nao,RECUPERAVEL
0010510000,,sim,sim,nao,RECUPERAVEL
0010400000,,sim,sim,nao,RECUPERAVEL
0050280000,,sim,sim,nao,RECUPERAVEL
0010790000,,sim,sim,nao,RECUPERAVEL
0010490000,,sim,sim,nao,RECUPERAVEL
0010770000,,sim,sim,nao,RECUPERAVEL
0050050000,,sim,sim,nao,RECUPERAVEL
0010710000,,sim,sim,nao,RECUPERAVEL
0010780000,,sim,sim,nao,RECUPERAVEL
0050820000,,sim,sim,nao,RECUPERAVEL
0030000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010670000,,sim,sim,nao,RECUPERAVEL
2229880000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2209990000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0690000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
1310000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0641920000,,sim,sim,nao,RECUPERAVEL
0380920000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370400000,,sim,sim,nao,RECUPERAVEL
0421740000,,sim,sim,nao,RECUPERAVEL
0421750000,,sim,sim,nao,RECUPERAVEL
0421710000,,sim,sim,nao,RECUPERAVEL
0421760000,,sim,sim,nao,RECUPERAVEL
0421700000,,sim,sim,nao,RECUPERAVEL
0421670000,,sim,sim,nao,RECUPERAVEL
0421720001,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0421690000,,sim,sim,nao,RECUPERAVEL
0421680000,,sim,sim,nao,RECUPERAVEL
0380690000,,sim,nao,nao,RECUPERAVEL
0381050000,,sim,nao,nao,RECUPERAVEL
0381040000,,sim,sim,nao,RECUPERAVEL
0381030000,,sim,sim,nao,RECUPERAVEL
0360100000,,sim,sim,nao,RECUPERAVEL
0380980000,,sim,sim,nao,RECUPERAVEL
0370360647,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370340000,,sim,nao,nao,RECUPERAVEL
0370350005,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370360000,,sim,sim,nao,RECUPERAVEL
0370350006,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370350015,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370360113,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370260000,,sim,sim,nao,RECUPERAVEL
0370350000,,sim,sim,nao,RECUPERAVEL
0370360110,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370360111,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370360112,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0370350016,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
1230010000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0320210000,,sim,sim,nao,RECUPERAVEL
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,sim,NAO_VENDAVEL_LEI
,,nao,nao,sim,NAO_VENDAVEL_LEI
,,nao,nao,sim,NAO_VENDAVEL_LEI
,,nao,nao,sim,NAO_VENDAVEL_LEI
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090000000,,nao,nao,sim,NAO_VENDAVEL_LEI
0010870000,,nao,nao,sim,NAO_VENDAVEL_LEI
0893200001,,nao,nao,sim,NAO_VENDAVEL_LEI
0110120000,,nao,nao,sim,NAO_VENDAVEL_LEI
0100040000,,sim,sim,sim,NAO_VENDAVEL_LEI
0000000000,,nao,nao,sim,NAO_VENDAVEL_LEI
0100690001,,sim,nao,sim,NAO_VENDAVEL_LEI
0361440000,,nao,nao,sim,NAO_VENDAVEL_LEI
0060000000,,nao,nao,sim,NAO_VENDAVEL_LEI
0950000000,,nao,nao,sim,NAO_VENDAVEL_LEI
2519990000,,nao,nao,sim,NAO_VENDAVEL_LEI
0050460000,,sim,sim,sim,NAO_VENDAVEL_LEI
0020590055,,nao,sim,sim,NAO_VENDAVEL_LEI
0620000000,,nao,nao,sim,NAO_VENDAVEL_LEI
0642070000,,nao,nao,sim,NAO_VENDAVEL_LEI
0050440116,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
