sql,endereco,distrito,zona,tipo_zepec,esfera,nome_bem,area_terreno_m2,pcpt_m2,saldo_vendavel_m2,parcelas_anuais,valor_ref_art128_brl,valor_bruto_brl,valor_teto_art128_brl,base_vencedora_art128,estado_venda,ja_transferido_m2,n_transferencias,data_declaracao,data_certidao,data_referencia,renovacao_70pct_10anos_art129,renovacao_100pct_15anos_art129,conservacao_art129,negociavel,indicio_processo,proprietario,fonte
0050720005,"Rua da Glória, 955, 961",Liberdade,ZC,tombado,municipal,Caminho Histórico Glória-lavapés / Igepac Liberdade 2,184,220.80,220.80,,146283.31,585133.25,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190031,"Rua José Ferreira Rocha, 06",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,73,87.60,87.60,,92101.98,368407.93,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050690047,"Rua Galvão Bueno, 555, 557",Liberdade,ZEU,tombado,municipal,Caminho Histórico Glória-lavapés / Igepac Liberdade 2,180,216.00,216.00,,251178.30,1004713.20,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050660015,"Rua Lins, 13",Liberdade,ZC,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,119,142.80,142.80,,88941.55,355766.21,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050660002,"Rua Sinimbu, 13",Liberdade,ZM,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,154,184.80,184.80,,115100.83,460403.33,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210045,"Rua José Ferreira Rocha, 13",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,108,129.60,129.60,,129323.31,517293.22,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330170009,"Rua Pirapitingui, 75",Liberdade,ZEU,tombado,municipal,Conjunto São Joaquim – Pirapitingui / Igepac Liberdade,420,504.00,504.00,,1008385.56,4033542.24,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330150000,"Rua Doutor Siqueira Campos, 112, 114, 116",Liberdade,ZEU,tombado,municipal,Conjunto São Joaquim – Pirapitingui / Igepac Liberdade,,,,,,,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210061,"Rua José Ferreira Rocha, 39",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,154,184.80,184.80,,184405.45,737621.81,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050660001,"Rua Sinimbu, 5, 7, 158, 168",Liberdade,ZM,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,188,225.60,225.60,,140512.71,562050.82,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330200001,"Rua José Ferreira Rocha, 41",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,95,114.00,114.00,,73444.50,293778.00,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190024,"Rua José Ferreira Rocha, 20",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,75,90.00,90.00,,94625.33,378501.30,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190001,"Rua José Ferreira Rocha, 02, 212",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,105,126.00,126.00,,132475.46,529901.82,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190025,"Rua José Ferreira Rocha, 18",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,78,93.60,93.60,,98410.34,393641.35,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190026,"Rua José Ferreira Rocha, 16",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,83,99.60,99.60,,104718.69,418874.77,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050660008,"Rua Sinimbu, 47",Liberdade,ZM,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,156,187.20,187.20,,116595.65,466382.59,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050660005,"Rua Sinimbu, 29",Liberdade,ZM,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,156,187.20,187.20,,116595.65,466382.59,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330160034,"Rua Pirapitingui, 34",Liberdade,ZC,tombado,municipal,Conjunto São Joaquim – Pirapitingui / Igepac Liberdade,61,73.20,73.20,,85467.22,341868.89,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050660010,"Rua Lins, 3",Liberdade,ZM,tombado,municipal,Área do Glicério - Item 8 / Igepac Liberdade,119,142.80,142.80,,88941.55,355766.21,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
