sql_receptor,endereco_receptor,distrito_receptor,metragem_compra_m2,area_cedida_equivalente_m2,valor_pecuniario_rs,n_certidao,ano_certidao,data_publicacao,sql_cedente_de_quem_comprou,uso_receptor,nome_comprador,fonte
0472840224,"Al dos Tupinás, 33 / R José Líbero, 45",Saúde,1424.16,576.58000000000004,,006/09,2009,2010-01-07,0070540001,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0070050313,"Praça Marechal Deodoro, 13 / Av Angélica, 341",Santa Cecília,2223.84,2655.87,,004/09,2009,2009-11-23,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0100370068,"R da Consolação, 2232, 2238, 2240, 2244, 2246, Av Angélica, 2467, 2471, 2473, 2475, 2491",Consolação,2325,5180.45,,003/10,2010,2010-03-30,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0360030101,"Av Brigadeiro Luís Antonio, 2543, 2567, 2571",Vila Mariana,1440,3428.57,,005/10,2010,2010-07-20,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0280250025,"R Leocádia Cintra, 66 / R Orville Derby, 277",Mooca,4880.79,2465.04,,006/10,2010,2010-08-27,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0280630045,"R Borges de Figueiredo, 1325",Mooca,4657.43,4055.93,,008/10,2010,2010-11-17,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0980510060,"R John Harrison, 299, 323",Lapa,850,1008.06,,001/11,2011,2011-02-01,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0874710228,"Av Nações Unidas, 2003",Santo Amaro,12984.69,19202.439999999999,,004/11,2011,2011-09-03,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0330060175,"Av Liberdade, 978 a 992 / R Barão de Ijuí, 293 a 311",Liberdade,2022.27,7949.17,,006/12,2012,2012-06-26,0401990208,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0090840001,"Al Campinas, 802, 816 / Al Itu, 01, 05, 09, 11, 15, 17",Jardim Paulista,548,682.35,,007/10,2010,2010-09-24,0860910003,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0090800052,"R Carlos Sampaio, 75 e 83",Bela Vista,436.07,640.61,,002/11,2011,2011-02-12,0860910003,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0090840008,"R Teixeira da Silva, 54",Jardim Paulista,595,668.83,,003/11,2011,2011-07-27,0860910003,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0800030123,"R Bela Nápoles, 97",Vila Leopoldina,323.39999999999998,182.4,,005/12,2012,2012-11-30,0860910003,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0330130076,"R Vergueiro, 360, 366, 368, 376, 378, 384",Liberdade,853.12,393.92,,005/11,2011,2011-09-27,0090510021,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0360110010,"R Otávio Nébias, 57, 103",Vila Mariana,735.75,443.22,,009/12,2012,2012-12-10,0090510021,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0070100024,"Av Angélica, 525 / R Barão de Tatuí, 200",Santa Cecília,730.15,415.5,,002/13,2013,2013-05-08,0090510021,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0150460016,"R dos Pinheiros, 1166, 1152, 1156 / Rua Pedroso de Morais, 251, 161",Pinheiros,619,743.99,,006/13,2013,2013-09-25,0400840051,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0070100024,"Av Angélica, 525 / R Barão de Tatuí, 200",Santa Cecília,412.4,639.28,,002/13,2013,2013-05-08,0400840051,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
