hash_md5,canonico_id,dup_id,dup_status,motivo
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,101IZhOOzGu8yWoaA273eFAL4FEsF9xgp,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1j7SXNgKGF6SV_K4g1gC7bQe8yu-az92s,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1cnUxpN8PQtfUr7_f1QWIn0Bh0xe88V-y,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1D2gCtB7tgktMkArnCdndXCvo3ey2xtD-,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1CsTqoHKAxTXvunxlNxNBAd0OfaF0Zb4K,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1TT01AglMypnG_uIIYyT3wmoYpgy4Wj6K,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1VNTq2wFxsdMr_1UTV3wlS9mBAvudqsR0,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1t_V0JXd2obS3LQn0JtF91lEZM4-9xW7d,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1bukkA1yC1uvgpuE06XIy80ooSrLL7rDh,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1xIPee6JRr_FcCMIHKyzdp-s9n4Vwdn4T,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1tNyKu7_jvBiGuJVnjbPcuTb_OQ4RNqkw,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1WH8pm-8Rll-gENuAvCcAqb_FV5loPAio,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1faC3uBUqtf1NGdx0wvm7jhCsa98WdKqq,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1lY-iv2Ds6ycpG5DCAR3QK5evnIG6C-hv,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,142Txax4yH5Y_Vx7p7K6T0u9G1ctlqGKt,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1cfOnZ3qmpDmjuQhquQLitUT85NDzQ4F-,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1tbVJvIZdPBinruXVRnH5S7R2OAcWPSiE,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1QCD4RbojOSV1KY9DARFdh1u9_ZspBm6Z,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1DqVy_YrIJ-MaK_NH8X8r5Ts8m1d3AHPN,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1xvidK_pYLxL0zcsdc__qVq-YCccIe7HL,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
