bucket,titulo,drive_id,tamanho
geo-shapefiles,2025_20_Sao-Sebastiao_RAE-Centro-Historico_1753229567107.pdf,1mSNLDNo2LHh7mYa_bEQ6SMIf4pbgCABI,0.8 MB
geo-shapefiles,2025_31_Sao-Paulo_RAE-Castelinho-da-Brigadeiro_1753229566887.pdf,16iWflW1Hkb-2qA1de9hOyRuxIYKab4ds,1.4 MB
geo-shapefiles,2025_4_Sao-Paulo_RAE-Estadio-Paulo-Machado-de-Carvalho_1753229566534.pdf,1rGez7luvkFfI15EiFEiAWPNwGBZ0ic9N,0.2 MB
geo-shapefiles,2025_80_Mogi das Cruzes_RAE Igreja Ordem Primeira e Terceira de Nossa Senhora do Carmo_1765548385222.pdf,13W2ltVw67AVchj8vL-rx3p5r4MrT-Eh7,0.4 MB
geo-shapefiles,2025_81_Sao Paulo_RAE_Sitio Itaim_1765548385444.pdf,1tDU_4kttvDzyKBbckeTLy77DedfzfF00,0.8 MB
geo-shapefiles,2025_82_Sao Paulo_RAE_Sitio Capao_1765548385626.pdf,1TzvZAuqdENjrbfONpPbKmejcBI4o4Jds,0.6 MB
geo-shapefiles,2025_83_Sao Paulo_RAE_Residencia Marieta Teixeira de Carvalho_1765548385729.pdf,1iv3Pix9wMqZ_JmKqNQtBuz7JbC_ceN10,0.3 MB
geo-shapefiles,2025_84_Sao Paulo_RAE_Residencia Elias Pacheco Chaves_1765548385965.pdf,1bXKBFus5JaNGfvcpV8nX_wrh6mIkhNJV,0.3 MB
geo-shapefiles,2025_85_Sao Paulo_RAE_Edificio do Antigo Banco de Sao Paulo_1765548386216.pdf,1DLPBJMQI1akWee1PBgK8O05P5NH2Ce0M,0.3 MB
geo-shapefiles,2025_87_Araras_RAE_Antigo Forum de Araras_1766061596076.pdf,13hk3KnCk2TD-RMntcND5insH6xUjpNsJ,0.5 MB
geo-shapefiles,2025_88_Sao Paulo_RAE Edificio Esther e Antigo Instituto de Educacao Caetano de Campos_1765548386380.pdf,1abnOh2zBGCtjvGcO_wYvbfe0oMY5699I,0.3 MB
geo-shapefiles,2025_89_Sao Paulo_RAE_Casas de Aluguel da Rua Bento Freitas_1765548386536.pdf,1slr_iBJKG_jzajEYmFnnd0yBzbva2EIw,0.2 MB
geo-shapefiles,2025_90_Sao Paulo_RAE Teatro Municipal e Edificio Alexandre Mackenzie_1765549460513.pdf,1RQOseOfql-i0vBcGomILCfFuKGhWjjVo,0.3 MB
geo-shapefiles,2025_91_Sao Paulo_RAE Igreja Santo Antonio_1765549460684.pdf,10I2qbCeZuiSL9paIxieTlUN15WTCi9Ob,0.4 MB
geo-shapefiles,2025_92_Sao Paulo_RAE_Escola de Primeiras Letras_1765548386667.pdf,1OXdlppbNi46qHwJ1SVnRjgJ2eUDhpsCS,0.5 MB
geo-shapefiles,20260000280408.pdf,1rZeHvz8kRyk7lNvg331xvLADf6UrNuPc,0.5 MB
geo-shapefiles,20260000519522.pdf,1cPc6M4WL1urOV1zx4C4vLcIfxBh0ggbC,0.5 MB
geo-shapefiles,20260603091339371.pdf,1GSI1S31O1kQA9RH076yPMMTbuM5tNBFm,0.1 MB
geo-shapefiles,21-24 - Reorganização do Selo de Valor Cultural - Página.pdf,1tImieDTt34vMj1pCpsLj9mpjAT1bHMho,0.6 MB
geo-shapefiles,3-QUADRO_2A_FINAL.docx,1qIhCeMImfdCRgLv8-DAm2Q2agrhA7gFU,0.0 MB
geo-shapefiles,4-QUADRO_2B_FINAL.docx,1pab3rLbqDIiEj_pY3g_M0empWKHJMCp9,0.0 MB
geo-shapefiles,49c99_22_T_Bairro_da_Bela_Vista.pdf,1BAftD9AWl-XlNn8iynK6yBCgLlfBkjEU,0.4 MB
geo-shapefiles,5-QUADRO_3_FINAL.docx,1BLXCfEqxsVKQcpwVC2d2wYRKCcgOUz7u,0.0 MB
geo-shapefiles,6-QUADRO_3A_FINAL.docx,1R0xx8b7jKgfUdfjULVTh3S4ZXgxBjHFi,0.0 MB
geo-shapefiles,7-QUADRO_3B_FINAL.doc,1XyZGg9aM2Dgn7yznDf2Hd5a7E0cIJV_I,0.1 MB
geo-shapefiles,8-QUADRO_3C_FINAL.doc,1q14btLjd5ZI7YriuNY3DFW7x4ayd-7OE,0.1 MB
geo-shapefiles,9-QUADRO_4_FINAL.doc,1BcjrwFcR-a45RVoA3cs-RUTOdbcX4HbE,0.8 MB
geo-shapefiles,ACADEM~1.PDF,1Oh9nUUcjMHATtu1_cEYdeoXvR60_qmXA,0.1 MB
geo-shapefiles,Anexo 1 do D 57_536_2016.pdf,1zGE-_IvO0C4Z_LWT14viUR_lyRAVu4tO,0.1 MB
geo-shapefiles,Anexo 8 do D 57.536_2016_1.pdf,1jrbCc3xZXsihZUmPRfZlNbmmb0zrj5uI,0.0 MB
geo-shapefiles,Anexo 9 do D 57.536_2016.pdf,1Tf-tV2TmeIxDhWG4QJ5ERyD0fwA8CrAa,0.0 MB
geo-shapefiles,Anexo III da Lei 15.889_2013.pdf,1thIZNvUvcKJ6ru0tkX4y62Ia-CcFQeH7,0.1 MB
geo-shapefiles,Anexo_2024-06501-00.pdf,19LgdlZN-IXDnfjqV8yIwIGWgHb3T16Ch,1.0 MB
geo-shapefiles,ANEXOS_DO_PL_586_23___SEM_O_MAPA (1).pdf,1j4_wkUc-sVY_FPYYhAGpo7KWnfPdTOHa,2.0 MB
geo-shapefiles,Análise de Omissões da Legislação - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,1Sti8VuTpJN439jrdyzWeLIu1EUrRFnFg,0.5 MB
geo-shapefiles,area_potencial_e_suspeita_de_contaminacao.xlsx.gpkg,1FoIgFRcfI39O0zIBLOLzmPWNgv4gVydp,10.0 MB
geo-shapefiles,ARQUIP _ DOSP - 097088730 - Lei.pdf,15MZf-TB7tfLZokrJ-JHYM7nNHbjKVsa2,0.6 MB
geo-shapefiles,ARQUIP _ DOSP - 107504220 - Lei.pdf,1cfD8qXsbhrF8K0rfvmqzJv-afnyFrpYT,0.3 MB
geo-shapefiles,ARQUIP _ DOSP - 155292571 - Decisão.pdf,13X9l_5SmJSBqAmkOvlEZVDElYV2pbwnQ,0.3 MB
geo-shapefiles,ARQUIP _ DOSP - 156981397 - Decisão.pdf,1hqUzM2g711wKWJifI-B83S8tJFc_8UG-,0.2 MB
geo-shapefiles,Ativação de Zonas de Estruturação (ZEUP e ZEMP) por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,1zy--Cx4wKvH72stiZSqpLXec05K-0y0b,0.4 MB
geo-shapefiles,atos.cnj.jus.br_atos_detalhar_2014.pdf,1Oh1RZpVrsbaId5ba4AFlTUNF8LLwaUx9,0.1 MB
geo-shapefiles,Atualizacacao_Q14_anoref2025.pdf,1-_o0yldO83-ZtNQ3i51Oes0XgZeWd9xl,9.4 MB
geo-shapefiles,Auditoria TDC São Paulo_ Memorial de Fundamentação Estratégica.pdf,19ZbY8tv-CkZ_h9r91UuTLsQ_5gI6rGCE,0.1 MB
geo-shapefiles,Balanco_Financeiro_01JAN2025.pdf,15ez1ehgYXB8bevIIX4o-JNpdcPE49ggf,0.0 MB
geo-shapefiles,Balanco_Financeiro_02FEV2025.pdf,1OJpZwU3tp6qv-h9BuB30yWB6he3Ipq1v,0.1 MB
geo-shapefiles,Balanco_Financeiro_03MAR2025 (1).pdf,1Cjc8HQI9e_4o9egtyWitu0dzZlcwGj46,0.0 MB
geo-shapefiles,Balanco_Financeiro_04ABR2025555.pdf,1rqdJkmfblG_mfoX2nP6fqG3Pdro7sE6c,0.1 MB
geo-shapefiles,Balanco_Financeiro_05MAI2025.pdf,1dGYKRn6d3wY6ap-GEkcVjFaJVC1LKt2u,0.1 MB
geo-shapefiles,Balanco_Financeiro_06JUN2025.pdf,148qluDvwqn3x7wcLcroc1hNFxA0b33I7,0.1 MB
geo-shapefiles,Balanco_Financeiro_07JUL2025 (1).pdf,1Fab0bmEtfMJ6pDtv-VWTuAW2ts1M3KZ3,0.0 MB
geo-shapefiles,Balanco_Financeiro_08AGO2025.pdf,1xRvcmiK_nk6j8pbOPw9vy0kLC02OME8i,0.0 MB
geo-shapefiles,Balanco_Financeiro_09SET2025.pdf,1tt9VADQiTyHpbxzYzcuNJ2StIpoA_zXe,0.3 MB
geo-shapefiles,Balanco_Financeiro_10OUT2025.pdf,1suTHuq_Irehqq9FhjFc3b-KQmvK-gkL7,0.0 MB
geo-shapefiles,Balanco_Financeiro_11NOV2025.pdf,1wUlePaDESvbEGgrdm_RcoFNVETIHSHTj,0.0 MB
geo-shapefiles,browse.pdf,1fEjdKy1YxsJvGlnfGhOAczwhCUz9BIKI,0.2 MB
geo-shapefiles,Cartilha Estatuto da Cidade 10 anos.pdf,16ELdzUPdLmRQ4b-Ux_QVD60q4XFFQdCT,2.0 MB
geo-shapefiles,cartilha_doacao_area_parhis.pdf,1_HiTqavN81LBguNoWqfG-IvwJFMqJG8G,2.4 MB
