sql,ano_arquivo,data,natureza,valor_transacao,valor_venal_ref
"02001702507","2006","2006-01-24","1.Compra e venda","45000.0",""
"00601315650","2006","2006-01-24","1.Compra e venda","35000.0",""
"00507621018","2006","2006-01-24","1.Compra e venda","19619.94",""
"03303605025","2006","2006-01-24","1.Compra e venda","57300.0",""
"02004203374","2006","2006-01-24","1.Compra e venda","68000.0",""
"02107406715","2006","2006-01-24","1.Compra e venda","20000.0",""
"02107400512","2006","2006-01-24","1.Compra e venda","110000.0",""
"00507620372","2006","2006-01-24","1.Compra e venda","25000.0",""
"00601101642","2006","2006-01-24","1.Compra e venda","32533.0",""
"00404800378","2006","2006-01-27","1.Compra e venda","56000.0",""
"00705702421","2006","2006-01-24","1.Compra e venda","50000.0",""
"02008004619","2006","2006-01-26","1.Compra e venda","90000.0",""
"06916313404","2006","2006-01-26","1.Compra e venda","76000.0",""
"00102301220","2006","2006-01-24","1.Compra e venda","1.0",""
"00104502797","2006","2006-01-20","1.Compra e venda","35000.0",""
"03300100909","2006","2006-01-24","1.Compra e venda","50000.0",""
"00605304041","2006","2006-01-10","1.Compra e venda","65000.0",""
"00507627997","2006","2006-01-26","1.Compra e venda","42000.0",""
"00604002378","2006","2006-01-26","1.Compra e venda","26000.0",""
"03303707601","2006","2006-01-17","1.Compra e venda","95000.0",""
"00707201020","2006","2006-01-25","1.Compra e venda","30300.0","781.0"
"00906402913","2006","2006-01-27","1.Compra e venda","100000.0",""
"03703602589","2006","2006-01-26","1.Compra e venda","69000.0",""
"06916302380","2006","2006-01-26","1.Compra e venda","12000.0",""
"19601803245","2006","2006-01-19","1.Compra e venda","44300.0",""
"03301403409","2006","2006-01-26","1.Compra e venda","48000.0","439.0"
"08737400800","2006","2006-01-17","1.Compra e venda","400000.0","3.0"
"00802201075","2006","2006-01-27","1.Compra e venda","35000.0",""
"00904907848","2006","2006-01-31","1.Compra e venda","48000.0",""
"03303902607","2006","2006-01-24","1.Compra e venda","46500.0",""
"05426004218","2006","2006-01-30","1.Compra e venda","180000.0",""
"08737403915","2006","2006-01-27","1.Compra e venda","83915.96",""
"00801800587","2006","2006-01-27","1.Compra e venda","68000.0",""
"00506301801","2006","2006-01-31","1.Compra e venda","19500.0",""
"00506301648","2006","2006-01-31","1.Compra e venda","60500.0",""
"00503504671","2006","2006-01-24","1.Compra e venda","72000.0",""
"06916306947","2006","2006-01-30","1.Compra e venda","66000.0",""
"03300506395","2006","2006-01-27","1.Compra e venda","50000.0",""
"02202101055","2006","2006-01-27","1.Compra e venda","300000.0",""
"00806601418","2006","2006-01-31","1.Compra e venda","32000.0",""
"09900201310","2006","2006-01-27","1.Compra e venda","115000.0",""
"00901701661","2006","2006-01-27","1.Compra e venda","15000.0",""
